line_item,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue,4495.0,4789.0,5068.0,5172.0,5467.0,5875.0,6017.0,6325.0,6731.0,7054.0,7128.0,7344.0,7755.0
Interest,2308.0,2449.0,2636.0,2705.0,2882.0,3075.0,3210.0,3381.0,3614.0,3762.0,3880.0,3922.0,4052.0
Expenses,2098.0,1882.0,2164.0,2076.0,2339.0,2349.0,2219.0,2269.0,2561.0,2414.0,2275.0,2348.0,2312.0
Financing Profit,89.0,458.0,268.0,390.0,246.0,450.0,588.0,675.0,556.0,878.0,973.0,1075.0,1391.0
Financing Margin %,2.0,10.0,5.0,8.0,4.0,8.0,10.0,11.0,8.0,12.0,14.0,15.0,18.0
Other Income,822.0,629.0,668.0,680.0,1022.0,894.0,792.0,788.0,981.0,825.0,846.0,933.0,938.0
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Profit before tax,911.0,1088.0,936.0,1070.0,1268.0,1344.0,1380.0,1463.0,1537.0,1703.0,1819.0,2008.0,2330.0
Tax %,8.0,19.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,6.0,10.0,11.0,14.0
Net Profit,841.0,884.0,920.0,1038.0,1230.0,1295.0,1333.0,1412.0,1502.0,1504.0,1669.0,1799.0,2045.0
EPS in Rs,1.25,1.25,1.3,1.47,1.74,1.83,1.88,1.84,1.95,1.96,2.17,2.34,2.66
Gross NPA %,2.47,2.28,2.19,2.04,1.88,1.85,1.84,1.8,1.74,1.74,1.72,1.6,1.45
Net NPA %,0.25,0.24,0.23,0.22,0.2,0.2,0.2,0.2,0.18,0.18,0.18,0.15,0.13
Raw PDF,,,,,,,,,,,,,
